timestamp,open,high,low,close,volume,vwap
2022-02-25 05:00:00,133.5255,135.389,131.765,134.5195,26235860.0,133.9443
2022-02-28 05:00:00,133.2845,135.6405,132.8253,134.891,29665600.0,134.2415
2022-03-01 05:00:00,134.48,136.111,133.3785,134.168,24639920.0,134.5272
2022-03-02 05:00:00,134.6083,135.6155,133.4325,134.7515,23966740.0,134.7739
2022-03-03 05:00:00,135.9785,136.7138,133.431,134.308,19779300.0,134.7946
2022-03-04 05:00:00,133.3825,134.199,130.4085,132.122,24472240.0,131.7707
2022-03-07 05:00:00,131.904,131.904,126.41,126.4645,39177900.0,128.0828
2022-03-08 05:00:00,126.2505,131.2465,125.8608,127.2785,35233560.0,128.0285
2022-03-09 05:00:00,131.4,134.1985,130.088,133.866,32257440.0,132.5154
2022-03-10 05:00:00,131.4625,133.5385,131.401,132.682,24265200.0,132.4544
2022-03-11 05:00:00,133.9995,134.2,130.2965,130.4755,26599800.0,131.8673
2022-03-14 04:00:00,130.573,131.026,126.413,126.741,30253860.0,127.8632
2022-03-15 04:00:00,127.7415,130.5173,126.568,129.6605,30292600.0,128.9242
2022-03-16 04:00:00,131.0,133.771,129.201,133.6905,32058200.0,132.4067
2022-03-17 04:00:00,133.321,134.7395,132.719,134.6005,23994380.0,133.9459
2022-03-18 04:00:00,133.884,136.9135,132.932,136.8015,45887900.0,135.6549
2022-03-21 04:00:00,136.8475,137.5825,134.6115,136.4785,26632460.0,136.1753
2022-03-22 04:00:00,136.5,141.5,136.5,140.2775,29776860.0,139.9769
2022-03-23 04:00:00,139.1385,140.025,138.1665,138.5035,25302320.0,138.9942
2022-03-24 04:00:00,139.2725,141.3965,138.0394,141.312,20544720.0,140.2233
2022-03-25 04:00:00,141.754,141.9595,139.6995,141.5215,19289080.0,141.1405
2022-03-28 04:00:00,140.6845,141.9765,139.8281,141.95,23773080.0,141.2539
2022-03-29 04:00:00,143.1605,144.1625,142.484,143.25,28678420.0,143.3703
2022-03-30 04:00:00,142.87,143.4805,142.168,142.6445,21046380.0,142.7402
2022-03-31 04:00:00,142.4485,142.6445,139.619,139.6495,29516320.0,140.6501
2022-04-01 04:00:00,140.01,140.95,138.797,140.7,23480020.0,140.219
2022-04-04 04:00:00,140.8245,144.0438,140.8245,143.6425,19084900.0,143.3238
2022-04-05 04:00:00,143.3995,143.59,140.9435,141.063,19255560.0,141.7243
2022-04-06 04:00:00,139.1615,139.8485,136.4181,137.176,23574600.0,137.6628
2022-04-07 04:00:00,136.618,137.7015,134.8573,136.465,19448540.0,136.4278
2022-04-08 04:00:00,136.25,136.25,133.7525,134.0105,16434480.0,134.6913
2022-04-11 04:00:00,132.9,132.9392,129.6175,129.7965,23887340.0,130.6921
2022-04-12 04:00:00,132.4235,132.4235,127.576,128.3745,23003220.0,129.5384
2022-04-13 04:00:00,128.6265,130.6557,128.4386,130.286,19542960.0,129.7583
2022-04-14 04:00:00,130.6495,130.7103,127.1115,127.253,22783360.0,128.1045
2022-04-18 04:00:00,127.41,128.712,126.5785,127.961,14917200.0,127.6945
2022-04-19 04:00:00,128.077,130.9038,127.4515,130.531,22319300.0,129.8571
2022-04-20 04:00:00,131.284,131.9235,127.8941,128.2455,22609380.0,129.1548
2022-04-21 04:00:00,129.35,130.3075,124.65,124.9375,30157540.0,126.4703
2022-04-22 04:00:00,125.0,125.452,119.1405,119.614,46358300.0,121.219
2022-04-25 04:00:00,119.4295,123.278,118.7693,123.25,34521800.0,121.7167
2022-04-26 04:00:00,122.75,122.75,119.1619,119.506,49379360.0,119.2091
2022-04-27 04:00:00,114.373,117.5,113.1243,115.0205,62238120.0,115.3725
2022-04-28 04:00:00,117.115,120.4385,115.1439,119.4115,36790940.0,117.9925
2022-04-29 04:00:00,117.578,118.96,114.694,114.9665,33693100.0,116.4461
2022-05-02 04:00:00,113.9065,117.3395,113.3995,117.157,30279640.0,115.6873
2022-05-03 04:00:00,116.765,119.3,116.627,118.1295,21215740.0,118.0684
2022-05-04 04:00:00,118.0035,123.143,115.7385,122.575,33231460.0,119.5489
2022-05-05 04:00:00,120.2205,121.2333,115.1825,116.7465,43089040.0,117.0535
2022-05-06 04:00:00,115.519,117.4985,114.143,115.66,35301280.0,115.7495
2022-05-09 04:00:00,113.3035,115.5629,112.5515,113.084,34520960.0,113.6889
2022-05-10 04:00:00,116.0405,116.691,113.3833,114.5845,31157780.0,115.1134
2022-05-11 04:00:00,113.7105,116.671,113.65,113.961,36501640.0,114.7885
2022-05-12 04:00:00,111.938,114.8565,110.1135,113.161,41418880.0,112.5002
2022-05-13 04:00:00,114.8455,118.085,114.0,116.5155,29737560.0,116.3057
2022-05-16 04:00:00,115.384,116.6075,114.335,114.7925,23282380.0,115.0985
2022-05-17 04:00:00,117.2275,117.2275,115.3375,116.7015,21576080.0,116.4129
2022-05-18 04:00:00,115.2375,115.6957,112.142,112.401,27982760.0,113.4119
2022-05-19 04:00:00,111.841,113.5875,110.468,110.7455,29191740.0,111.704
2022-05-20 04:00:00,112.0855,112.55,106.373,109.313,37586020.0,108.8029
2022-05-23 04:00:00,110.104,112.0055,109.1543,111.6665,31558220.0,110.9537
2022-05-24 04:00:00,106.3775,106.395,102.208,105.926,60386380.0,104.6539
2022-05-25 04:00:00,105.142,106.5447,104.2113,105.8395,37899340.0,105.4138
2022-05-26 04:00:00,106.0505,108.9553,105.488,108.296,30287480.0,107.9324
2022-05-27 04:00:00,109.7885,112.868,109.55,112.799,29924420.0,111.9305
2022-05-31 04:00:00,113.079,116.4335,112.5725,114.039,51301920.0,114.3287
2022-06-01 04:00:00,114.9315,117.399,113.5505,114.137,28429280.0,114.9202
2022-06-02 04:00:00,114.188,117.898,113.308,117.746,27495400.0,116.4381
2022-06-03 04:00:00,115.9925,116.3645,113.668,114.564,24552080.0,114.715
2022-06-06 04:00:00,116.7425,119.3985,116.5283,117.0105,23786720.0,117.6161
2022-06-07 04:00:00,115.648,117.7486,115.1255,117.2295,26413540.0,116.7759
2022-06-08 04:00:00,116.8765,118.646,116.6968,117.238,22458260.0,117.5281
2022-06-09 04:00:00,116.3415,118.35,114.867,114.918,23141600.0,116.6693
2022-06-10 04:00:00,112.7813,113.497,110.861,111.4275,31349740.0,111.8105
2022-06-13 04:00:00,107.446,109.2185,106.5881,106.8765,36756200.0,107.6029
2022-06-14 04:00:00,106.89,108.4575,106.352,107.194,25480940.0,107.2789
2022-06-15 04:00:00,108.8995,112.063,108.1188,110.3905,33192020.0,109.8085
2022-06-16 04:00:00,108.1495,109.2905,105.7925,106.636,35313240.0,107.136
2022-06-17 04:00:00,106.535,109.2495,105.6285,107.8655,43516660.0,107.601
2022-06-21 04:00:00,109.702,112.673,109.2935,112.015,39010280.0,111.7264
2022-06-22 04:00:00,111.163,113.7695,110.7243,112.034,23921720.0,112.5524
2022-06-23 04:00:00,112.95,113.1965,111.029,112.6845,24709720.0,112.2753
2022-06-24 04:00:00,113.603,118.6375,113.603,118.538,39122760.0,117.3444
2022-06-27 04:00:00,118.935,119.25,116.0008,116.6225,32839300.0,117.3941
2022-06-28 04:00:00,116.351,117.8565,112.444,112.5715,28316220.0,114.1244
2022-06-29 04:00:00,112.1485,113.6645,111.554,112.2565,18627860.0,112.3099
