Date,Open,High,Low,Close,Volume,VWAP,Transactions,Ticker
2022-02-25,163.84,165.12,160.8738,164.85,91974222.0,163.7895,812155,AAPL
2022-02-28,163.06,165.42,162.43,165.12,95056629.0,164.268,791485,AAPL
2022-03-01,164.695,166.6,161.97,163.2,83468865.0,164.16,749653,AAPL
2022-03-02,164.39,167.36,162.95,166.56,79724750.0,165.8095,668260,AAPL
2022-03-03,168.47,168.91,165.55,166.23,76678441.0,166.918,651764,AAPL
2022-03-04,164.49,165.55,162.1,163.17,83819592.0,163.398,743696,AAPL
2022-03-07,163.36,165.02,159.04,159.3,96418845.0,161.4026,847057,AAPL
2022-03-08,158.82,162.88,155.8,157.44,131139480.0,158.7737,1139149,AAPL
2022-03-09,161.475,163.41,159.41,162.95,91445405.0,161.9446,733685,AAPL
2022-03-10,160.2,160.39,155.98,158.52,105342033.0,158.0284,882861,AAPL
2022-03-11,158.93,159.28,154.5,154.73,96917302.0,156.1598,880727,AAPL
2022-03-14,151.45,154.12,150.1,150.62,108712111.0,151.683,969357,AAPL
2022-03-15,150.9,155.57,150.38,155.09,92964302.0,153.4741,719955,AAPL
2022-03-16,157.05,160.0,154.46,159.59,102300157.0,157.6528,833066,AAPL
2022-03-17,158.61,161.0,157.63,160.62,75615376.0,159.4208,629003,AAPL
2022-03-18,160.51,164.48,159.76,163.98,122610172.0,162.5971,713986,AAPL
2022-03-21,163.51,166.35,163.015,165.38,95811352.0,164.7355,721125,AAPL
2022-03-22,165.51,169.42,164.91,168.82,81532007.0,168.2308,638943,AAPL
2022-03-23,167.99,172.64,167.65,170.21,98062674.0,170.7915,784481,AAPL
2022-03-24,171.06,174.14,170.21,174.07,90131418.0,172.2655,688102,AAPL
2022-03-25,173.88,175.28,172.75,174.72,80529356.0,174.0232,663600,AAPL
2022-03-28,172.17,175.73,172.0,175.6,90371916.0,174.3754,716107,AAPL
2022-03-29,176.69,179.01,176.34,178.96,99459940.0,177.8604,775943,AAPL
2022-03-30,178.55,179.61,176.7,177.77,91340654.0,178.1191,695863,AAPL
2022-03-31,177.84,178.03,174.4,174.61,103049285.0,175.8765,716272,AAPL
2022-04-01,174.03,174.88,171.94,174.31,78251328.0,173.4143,661160,AAPL
2022-04-04,174.57,178.49,174.44,178.44,76545983.0,177.4855,630374,AAPL
2022-04-05,177.5,178.3,174.415,175.06,73401786.0,175.9791,621541,AAPL
2022-04-06,172.36,173.63,170.13,171.83,89058782.0,171.7887,769485,AAPL
2022-04-07,171.16,173.36,169.85,172.14,77594650.0,171.8049,628352,AAPL
2022-04-08,171.78,171.78,169.2,170.09,76534208.0,170.5154,614848,AAPL
2022-04-11,168.71,169.03,165.5,165.75,72246706.0,166.692,677210,AAPL
2022-04-12,168.02,169.87,166.64,167.66,79265181.0,168.0916,678461,AAPL
2022-04-13,167.39,171.04,166.77,170.4,70618925.0,169.6805,558072,AAPL
2022-04-14,170.62,171.27,165.04,165.29,75069376.0,167.2264,596848,AAPL
2022-04-18,163.92,166.5984,163.57,165.07,69023941.0,164.9284,576791,AAPL
2022-04-19,165.02,167.82,163.91,167.4,67723833.0,166.5491,548306,AAPL
2022-04-20,168.76,168.88,166.1,167.23,67929814.0,167.3492,595063,AAPL
2022-04-21,168.91,171.53,165.91,166.42,87227768.0,168.8014,752017,AAPL
2022-04-22,166.46,167.8699,161.5,161.79,84875424.0,164.2289,730001,AAPL
2022-04-25,161.12,163.17,158.46,162.88,96017376.0,160.7032,925124,AAPL
2022-04-26,162.25,162.34,156.72,156.8,95595226.0,158.6074,899965,AAPL
2022-04-27,155.91,159.79,155.38,156.57,88063191.0,157.4448,777860,AAPL
2022-04-28,159.25,164.515,158.93,163.64,130149192.0,161.8622,1126019,AAPL
2022-04-29,161.84,166.2,157.25,157.65,131747495.0,160.7133,1032218,AAPL
2022-05-02,156.71,158.23,153.27,157.96,123050000.0,156.0357,1154671,AAPL
2022-05-03,158.15,160.71,156.32,159.48,88966526.0,158.8014,706626,AAPL
2022-05-04,159.67,166.48,159.26,166.02,108206503.0,162.4245,873681,AAPL
2022-05-05,163.85,164.08,154.95,156.77,130419230.0,158.143,1164746,AAPL
2022-05-06,156.01,159.44,154.18,157.28,115494647.0,157.3298,1023008,AAPL
2022-05-09,154.925,155.83,151.49,152.06,131577921.0,153.1029,1103707,AAPL
2022-05-10,155.52,156.74,152.93,154.51,115366736.0,154.8376,988257,AAPL
2022-05-11,153.5,155.45,145.81,146.5,142547625.0,149.4468,1310796,AAPL
2022-05-12,142.77,146.2,138.8,142.56,182408091.0,142.066,1678454,AAPL
2022-05-13,144.59,148.105,143.11,147.11,113990852.0,146.3255,920506,AAPL
2022-05-16,145.55,147.5199,144.18,145.54,86643781.0,145.7814,699719,AAPL
2022-05-17,148.86,149.77,146.68,149.24,78138254.0,148.443,609263,AAPL
2022-05-18,146.85,147.3601,139.9,140.82,109742890.0,142.6901,982288,AAPL
2022-05-19,139.88,141.66,136.6,137.35,135863540.0,138.66,1219746,AAPL
2022-05-20,139.09,140.7,132.61,137.59,137392625.0,136.397,1133362,AAPL
